uID;Name;Förderer;Wert;Hinweis;Alternativname;Quelle;Quelle 2
950;Universitätsklinikum Schleswig-Holstein;;;;;;
1001;Universität Kiel;;;;;;
1011;Universität Lübeck;;;;;;
3100;Universität Flensburg;;;;;;
2590;Musikhochschule Lübeck;;;;;;
5080;Muthesius Kunsthochschule Kiel;;;;;;
5050;Priv. FH Wedel;Otto Gruppe;;Stipendienprogramm;;http://www.fh-wedel.de/stipendien/grohe-treuhandstiftung/;
5050;Priv. FH Wedel;BIT-SERV;;Stipendienprogramm;;http://www.fh-wedel.de/stipendien/grohe-treuhandstiftung/;
5050;Priv. FH Wedel;innovas;;Stipendienprogramm;;http://www.fh-wedel.de/stipendien/grohe-treuhandstiftung/;
5050;Priv. FH Wedel;Hapag-LLoyd;;Stipendienprogramm;;http://www.fh-wedel.de/stipendien/grohe-treuhandstiftung/;
5050;Priv. FH Wedel;Grohe-Treuhandstiftung;;Stipendienprogramm;;http://www.fh-wedel.de/stipendien/grohe-treuhandstiftung/;
5070;AKAD Hochschule Pinneberg;;;;;;
5280;Nordakademie Hochschule der Wirtschaft;;;;;;
5010;FH Flensburg;;;;;;
5020;FH Kiel;;;;;;
5030;FH Lübeck;;;;;;
5090;FH Westküste, Heide;;;;;;
5060;FH für Verwaltung und Dienstleistung Altenholz;;;;;;
1060;Bucerius Law School Hamburg (Priv. H);Deutsche Bank;;Kooperationspartner;;http://www.law-school.de/freunde_foerderer.html?&L=0;
1060;Bucerius Law School Hamburg (Priv. H);Claussen-Simon-Stiftung;;Kooperationspartner;;http://www.law-school.de/freunde_foerderer.html?&L=0;
1060;Bucerius Law School Hamburg (Priv. H);Clifford Chance;;Kooperationspartner;;http://www.law-school.de/freunde_foerderer.html?&L=0;
1060;Bucerius Law School Hamburg (Priv. H);DLA Piper;;Kooperationspartner;;http://www.law-school.de/freunde_foerderer.html?&L=0;
1060;Bucerius Law School Hamburg (Priv. H);Freshfields Bruckhaus Deringer LLP;;Kooperationspartner;;http://www.law-school.de/freunde_foerderer.html?&L=0;
1060;Bucerius Law School Hamburg (Priv. H);Gebr. Heinemann SE & Co. KG;;Kooperationspartner;;http://www.law-school.de/freunde_foerderer.html?&L=0;
1060;Bucerius Law School Hamburg (Priv. H);Hengeler Mueller;;Kooperationspartner;;http://www.law-school.de/freunde_foerderer.html?&L=0;
1060;Bucerius Law School Hamburg (Priv. H);Linklaters LLP;;Kooperationspartner;;http://www.law-school.de/freunde_foerderer.html?&L=0;
